STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
34,001,000100,2417,+39.355832,-074.462943
34,001,000200,3202,+39.347917,-074.462001
34,001,000300,4373,+39.353414,-074.454147
34,001,000400,2606,+39.351720,-074.449934
34,001,000500,3503,+39.356752,-074.447650
34,001,001100,2027,+39.365878,-074.433717
34,001,001200,3174,+39.368816,-074.439115
34,001,001300,1984,+39.373082,-074.451302
34,001,001400,3623,+39.372115,-074.428258
34,001,001500,1438,+39.367431,-074.427294
34,001,001900,1568,+39.365167,-074.413175
34,001,002300,2861,+39.357365,-074.442153
34,001,002400,2752,+39.362154,-074.426139
34,001,002500,4030,+39.369010,-074.417643
34,001,010101,3497,+39.414812,-074.369454
34,001,010102,1702,+39.402407,-074.374234
34,001,010104,1491,+39.390275,-074.391518
34,001,010105,2760,+39.385736,-074.403617
34,001,010200,5890,+39.434269,-074.498620
34,001,010300,2521,+39.420673,-074.511081
34,001,010401,5536,+39.509884,-074.592244
34,001,010403,6992,+39.471112,-074.550008
34,001,010501,7299,+39.496400,-074.466208
34,001,010503,7718,+39.487832,-074.502208
34,001,010505,3044,+39.452031,-074.481245
34,001,010506,5458,+39.456649,-074.515208
34,001,010600,4243,+39.532632,-074.640622
34,001,010700,6147,+39.591812,-074.686280
34,001,010800,3106,+39.650464,-074.801386
34,001,010900,5880,+39.637594,-074.781752
34,001,011000,2666,+39.619609,-074.799334
34,001,011100,3139,+39.636792,-074.816376
34,001,011201,1885,+39.596733,-074.857940
34,001,011202,7570,+39.529466,-074.889136
34,001,011300,4603,+39.520983,-074.945985
34,001,011401,4759,+39.482547,-074.709347
34,001,011403,5793,+39.459528,-074.649274
34,001,011404,9359,+39.439114,-074.670959
34,001,011500,6592,+39.475306,-074.786655
34,001,011600,4942,+39.393010,-074.791540
34,001,011701,9371,+39.424065,-074.596356
34,001,011702,3236,+39.417174,-074.560642
34,001,011802,15765,+39.389494,-074.612196
34,001,011803,4688,+39.371708,-074.574250
34,001,011804,7189,+39.357724,-074.635546
34,001,011805,2283,+39.380290,-074.675817
34,001,011900,8031,+39.403945,-074.520380
34,001,012000,4519,+39.399595,-074.509664
34,001,012100,3138,+39.383545,-074.525979
34,001,012200,5161,+39.386653,-074.536752
34,001,012302,3437,+39.373403,-074.562844
34,001,012401,3014,+39.373870,-074.545328
34,001,012402,2173,+39.362668,-074.556095
34,001,012501,2461,+39.357676,-074.571443
34,001,012502,1621,+39.340216,-074.583534
34,001,012602,1418,+39.333938,-074.575574
34,001,012701,3408,+39.327590,-074.606112
34,001,012702,1786,+39.315897,-074.613675
34,001,012801,3892,+39.324123,-074.591493
34,001,012802,1709,+39.313380,-074.599940
34,001,013000,3616,+39.335103,-074.502730
34,001,013101,1192,+39.328670,-074.509157
34,001,013102,1546,+39.323022,-074.515406
34,001,013201,2642,+39.344722,-074.469947
34,001,013202,2607,+39.347868,-074.480794
34,001,013301,2674,+39.337560,-074.490691
34,001,013302,2727,+39.342702,-074.483385
34,001,013500,2678,+39.335017,-074.551638
34,001,983400,2417,+39.494430,-074.533763
34,001,990000,0,+39.378601,-074.358507
34,003,001000,6505,+41.032341,-074.132813
34,003,002100,1849,+40.953988,-073.930182
34,003,002200,5171,+41.010462,-073.950673
34,003,002300,5711,+40.995516,-073.957182
34,003,003100,5043,+40.930202,-073.987070
34,003,003200,4604,+40.925473,-073.995540
34,003,003300,6616,+40.928909,-074.004696
34,003,003401,2766,+40.918090,-074.011980
34,003,003402,3686,+40.915094,-074.006144
34,003,003500,4049,+40.917454,-073.991429
34,003,004001,3215,+40.879083,-074.027938
34,003,004002,4972,+40.871464,-074.027548
34,003,005000,6127,+40.840153,-074.092146
34,003,006100,6538,+40.828359,-073.988123
34,003,006201,4493,+40.821903,-073.987547
34,003,006202,4470,+40.827379,-073.980169
34,003,006300,8093,+40.813630,-073.992001
34,003,007001,3817,+40.974056,-073.972362
34,003,007002,4556,+40.970347,-073.947528
34,003,008000,8573,+40.941082,-073.964498
34,003,009100,4881,+40.954711,-073.960379
34,003,009200,3382,+40.960669,-073.987365
34,003,010100,6224,+40.945922,-073.981991
34,003,010200,4100,+40.939477,-073.994673
34,003,010300,7155,+40.946471,-073.999004
34,003,011100,4249,+40.918258,-074.121486
34,003,011200,4807,+40.911040,-074.125960
34,003,011300,4282,+40.895142,-074.121487
34,003,011400,6065,+40.903357,-074.114387
34,003,012001,5504,+40.833809,-074.097917
34,003,012002,3409,+40.845792,-074.112963
34,003,013001,5626,+40.812702,-073.984988
34,003,013002,5887,+40.832483,-073.972178
34,003,014000,7401,+40.975825,-074.027929
34,003,015100,2445,+40.897242,-073.962955
34,003,015200,6070,+40.906742,-073.976556
34,003,015300,6124,+40.895962,-073.986593
34,003,015400,6570,+40.892104,-073.978908
34,003,015500,5938,+40.879401,-073.973694
34,003,016000,5281,+40.881803,-073.954643
34,003,017100,7049,+40.944318,-074.111703
34,003,017200,6021,+40.940889,-074.132436
34,003,017300,6056,+40.929293,-074.131059
34,003,017400,5366,+40.935374,-074.105350
34,003,017500,7965,+40.924911,-074.107155
34,003,018100,7284,+40.814792,-073.997041
34,003,018200,6551,+40.818992,-074.001832
34,003,019102,2859,+40.860571,-073.961772
34,003,019103,3662,+40.863719,-073.970256
34,003,019104,3935,+40.860375,-073.967082
34,003,019202,1483,+40.849792,-073.970276
34,003,019203,2862,+40.854911,-073.973817
34,003,019204,3697,+40.853490,-073.979270
34,003,019303,5516,+40.846169,-073.981226
34,003,019304,2537,+40.836471,-073.985378
34,003,019305,6654,+40.844213,-073.971773
34,003,019306,2140,+40.831794,-073.978777
34,003,020100,4078,+41.024010,-074.199019
34,003,020200,6512,+40.999568,-074.216335
34,003,021100,6685,+40.887553,-074.108662
34,003,021200,5224,+40.884351,-074.119232
34,003,021300,4599,+40.877930,-074.109209
34,003,021400,4515,+40.879026,-074.098308
34,003,021500,4854,+40.869891,-074.102342
34,003,021600,4610,+40.870363,-074.109412
34,003,022100,4007,+40.966760,-074.125723
34,003,022200,7594,+40.956808,-074.124498
34,003,023100,2991,+40.892786,-074.041047
34,003,023200,6768,+40.901742,-074.044151
34,003,023301,2724,+40.905083,-074.050227
34,003,023302,4937,+40.893259,-074.053724
34,003,023401,3649,+40.888123,-074.059394
34,003,023402,5562,+40.880001,-074.059080
34,003,023501,3646,+40.889661,-074.047703
34,003,023502,4254,+40.884999,-074.052172
34,003,023601,3195,+40.867016,-074.041373
34,003,023602,5284,+40.875290,-074.045334
34,003,024100,5750,+41.013822,-073.982611
34,003,024200,4664,+40.991339,-073.979781
34,003,025100,6074,+40.862643,-074.071403
34,003,025200,5768,+40.861947,-074.079838
34,003,026100,4625,+41.007690,-074.029781
34,003,026200,5594,+41.006208,-074.052355
34,003,027000,4078,+41.000411,-074.101653
34,003,028001,5166,+40.864705,-073.989990
34,003,028002,3771,+40.860860,-073.984386
34,003,029100,4184,+40.854917,-074.037017
34,003,029200,6442,+40.846837,-074.041898
34,003,030100,5142,+40.880811,-074.074957
34,003,030200,7252,+40.878873,-074.090765
34,003,030300,4460,+40.876763,-074.084812
34,003,030400,7282,+40.869724,-074.082257
34,003,031100,4985,+40.810839,-074.113190
34,003,031200,4689,+40.815915,-074.124967
34,003,031300,5341,+40.807979,-074.132398
34,003,031400,5539,+40.803672,-074.122621
34,003,032102,6014,+41.044959,-074.174894
34,003,032103,4721,+41.076761,-074.163696
34,003,032104,4879,+41.088841,-074.173111
34,003,032201,5366,+41.083447,-074.128339
34,003,032202,4910,+41.096665,-074.142726
34,003,033100,3615,+40.909592,-074.060044
34,003,033200,2502,+40.903106,-074.065325
34,003,033300,3438,+40.894057,-074.062942
34,003,034000,7128,+40.995190,-074.140501
34,003,035100,7844,+41.050474,-074.039951
34,003,035200,5730,+41.025187,-074.059855
34,003,036100,2377,+40.862917,-074.045653
34,003,036200,2708,+40.839614,-074.056238
34,003,037100,5505,+40.945736,-074.015544
34,003,037201,4111,+40.933616,-074.018475
34,003,037202,6725,+40.923244,-074.022026
34,003,038100,5455,+40.791212,-074.126889
34,003,038200,4104,+40.783962,-074.135749
34,003,038300,5833,+40.792476,-074.137630
34,003,039100,4118,+41.035544,-074.243515
34,003,039200,5790,+41.035511,-074.222528
34,003,039300,2846,+41.015049,-074.242365
34,003,040001,3514,+40.959022,-074.031808
34,003,040002,4464,+40.949399,-074.034546
34,003,041100,5282,+40.850425,-073.998865
34,003,041200,4679,+40.848378,-073.993320
34,003,041301,5269,+40.841850,-073.997967
34,003,041302,4392,+40.844234,-073.988205
34,003,042100,7402,+40.940747,-074.052619
34,003,042301,4312,+40.967303,-074.086658
34,003,042302,5559,+40.965261,-074.065302
34,003,042400,4472,+40.945726,-074.073811
34,003,042500,4597,+40.922847,-074.069678
34,003,043001,3955,+41.039397,-074.050043
34,003,043002,4690,+41.030974,-074.031358
34,003,044100,6007,+41.055241,-074.154868
34,003,044201,3641,+41.051587,-074.132873
34,003,044202,4825,+41.067330,-074.134887
34,003,045100,8170,+40.830661,-073.999631
34,003,045200,2862,+40.836773,-074.005383
34,003,046100,4036,+40.852399,-074.019062
34,003,046200,4256,+40.863063,-074.024147
34,003,046300,4437,+40.853155,-074.024377
34,003,047100,6005,+40.987867,-074.098176
34,003,047200,4286,+40.996601,-074.122906
34,003,047300,3205,+40.980164,-074.133702
34,003,047400,4883,+40.978111,-074.120555
34,003,047500,6579,+40.971330,-074.103075
34,003,048100,4049,+40.924571,-074.034335
34,003,048200,7291,+40.927703,-074.040992
34,003,049001,4546,+41.028915,-074.011475
34,003,049002,5113,+40.997047,-074.008466
34,003,050000,5530,+40.906610,-074.078614
34,003,051100,5908,+40.836976,-074.115332
34,003,051200,2660,+40.827067,-074.117357
34,003,051300,4551,+40.829532,-074.106441
34,003,051400,4942,+40.819958,-074.108035
34,003,052100,7450,+40.912862,-074.098379
34,003,052200,6209,+40.893711,-074.092782
34,003,053100,3152,+41.029207,-074.099503
34,003,053200,8208,+41.063581,-074.098166
34,003,054100,7946,+40.895990,-073.997178
34,003,054200,4429,+40.899513,-074.003232
34,003,054300,7093,+40.904813,-074.016612
34,003,054400,7434,+40.891323,-074.026143
